Unnamed: 0,review,rating,topic,topic_probability,topic_label,rating_number_only,sentiment
40,minute order i able order normal menu,1 star,0,0.35285372,"Bad service, wrong orders, rude staff",1,negative
41,bad mcdonald wrong time today thru person next window order end order entire staff confused hell outta sky pay speaker head set cook bad leadership,1 star,0,0.76943624,"Bad service, wrong orders, rude staff",1,negative
42,girlfriend tonight food pm mobile order well system foot food great mcdonald app,3 stars,0,0.40486166,"Bad service, wrong orders, rude staff",3,neutral
43,location food hotfresh smile,5 stars,1,0.7902628,"Fast and quick service, clean place, friendly staff",5,positive
44,drink employee rude replace drink,1 star,0,0.46748352,"Bad service, wrong orders, rude staff",1,negative
45,large fry buy arriving destination fill carton small portion right management correct customer wrong large expect large noticed bad experience low order order good business people exceptional experience goal opposite,2 stars,0,0.7203113,"Bad service, wrong orders, rude staff",2,negative
46,answer call messed order hour,1 star,0,0.59334964,"Bad service, wrong orders, rude staff",1,negative
47,food none fake smile welcome mcdonald great day something wrong major attitude shift manager guy tall black guy name,1 star,0,0.49294016,"Bad service, wrong orders, rude staff",1,negative
48,horrible service worker stank attitude reason working window mute attitude mad miserable work mess order phone ridiculous long hair daughter happy meal fry extra fry meal,1 star,0,0.33585814,"Bad service, wrong orders, rude staff",1,negative
49,good last night ridiculous sat hour order line building window order next line window d d order time fault second lane closed second lane open sign wet floor sign menu lane open side slammed thru window shut deplorable customer service life manager worker last night,1 star,4,0.8085218,"Long wait times, slow drive-thru",1,negative
50,location tonight see oreo different mcdonald unbelievable ice cream,1 star,0,0.9163527,"Bad service, wrong orders, rude staff",1,negative
51,rude customer service unprofessional attitude food complimentary item order job many negative review vow cold bean,1 star,0,0.80311704,"Bad service, wrong orders, rude staff",1,negative
52,representative rude disrespectful order drive window location manager,1 star,4,0.50154287,"Long wait times, slow drive-thru",1,negative
53,order correct food speaker order taker well fast food place,3 stars,0,0.6923768,"Bad service, wrong orders, rude staff",3,neutral
54,good quick drive service long line,4 stars,4,0.4523791,"Long wait times, slow drive-thru",4,positive
56,time great staff food wrong line lol def customer service well food kid good customer service guy difference,4 stars,0,0.3227812,"Bad service, wrong orders, rude staff",4,positive
57,food restaurant late night door order minute food order drive half hour good lot people food driver long time thank,1 star,4,0.7338708,"Long wait times, slow drive-thru",1,negative
